Funder,Funder Link,2018,2019,2020,OverallAvailable
"Brain Tumour Charity, UK - cached",https://assets.thebraintumourcharity.org/live/media/filer_public/3a/13/3a13c7d4-2f5d-499f-8bb5-82beef3dcb69/terms_and_conditions_of_award_for_research_grants_v8_24042015_website.pdf,90%,96%,91%,92%
"Against Breast Cancer, UK - cached",https://www.againstbreastcancer.org.uk/our-research/applying-for-grants/policy-statements/,96%,95%,83%,90%
American Brain Tumor Association - cached,https://www.abta.org/wp-content/uploads/2020/10/2021-ABTA-Policies-and-Procedures.pdf,86%,86%,92%,90%
"LUNGevity Foundation, USA - cached",https://lungevity.org/about-us/public-access-research-policy,91%,91%,87%,89%
"The Donaghue Foundation, USA - cached",https://donaghue.org/wp-content/uploads/Public-Access-Policy.pdf,78%,78%,89%,84%
"Marie Curie Cancer Care, UK - cached",https://www.mariecurie.org.uk/globalassets/media/documents/research/funding-for-research/marie-curie-oa-policy-2020.pdf,95%,97%,92%,94%
Austrian Partnership Programme in Higher Education & Research for Development - cached,https://appear.at/en/implementation/open-access/,77%,88%,89%,85%
Wikimedia Foundation - cached,https://foundation.wikimedia.org/wiki/Open_access_policy,94%,86%,77%,86%
"British Orthopaedic Association, UK - cached",https://www.boa.ac.uk/uploads/assets/2386bdbf-f65c-4fff-80fa27aa33e6e678/boa-grant-terms-and-conditions.pdf,79%,79%,55%,77%
"Vienna Science and Technology Fund, Austria - cached",https://www.wwtf.at/upload/WWTF_Open_Access_Policy_EN.pdf,93%,92%,92%,92%
"National Environment Agency, Singapore - cached",https://www.nea.gov.sg/docs/default-source/envision/tncs-for-competitive-grants-(uss-if).pdf,51%,59%,50%,56%
MQ Mental Health Research - cached,https://www.mqmentalhealth.org/wp-content/uploads/2020-MQ-Open-Access-Policy.pdf,-,100%,94%,89%
"Brain Research, UK - cached",https://uploads-ssl.webflow.com/5d03644bbebda845c6bba4d1/5fa12e3fa80d2cf9b522a312_BRUK%20project%20grant%20terms%20and%20conditions%20April%202020.pdf,-,-,95%,93%
"Ministry of Science and Higher Education, Ethiopia - cached",https://nadre.ethernet.edu.et/record/4193/files/Ethiopia%20National%20OA%20Policy.pdf?download=1,-,71%,77%,78%
"Autism Science Foundation, USA - cached",https://autismsciencefoundation.org/resources/resources-for-grantees/standard-forms-templates/,93%,82%,91%,85%
"Lung Cancer Research Foundation, USA - cached",/mandates/lrcf_us-2021-02-13.pdf,-,94%,93%,90%
"Children’s Cancer and Leukaemia Group, UK - cached",https://www.cclg.org.uk/write/MediaUploads/Research/Documents/CCLG_Grant_Terms_and_Conditions_-_November_2016.pdf,75%,93%,88%,88%
"Alberta Conservation Association, Canada - cached",https://www.ab-conservation.com/grants/grants-in-biodiversity/recipients/,-,-,74%,76%
ME Research UK - cached,https://www.meresearch.org.uk/wp-content/uploads/2021/07/Standard-Grant-Conditions-2021.pdf,80%,100%,78%,74%
"Aligning Science Across Parksinson's, USA - cached",https://parkinsonsroadmap.org/open-access-policy/,-,-,88%,84%
"Jules Thorn Trust, UK - cached",https://julesthorntrust.org.uk/wp-content/uploads/2019/04/SJTCT-Open-Access-Publishing-Policy.pdf,-,91%,100%,93%
Prostate Cancer UK - cached,https://prostatecanceruk.org/research/for-researchers/for-grant-holders,93%,100%,89%,88%
"Myrovlytis Trust, UK - cached",https://www.myrovlytistrust.org/wp-content/uploads/2011/06/Open-Access-Policy-20122.pdf,100%,100%,100%,95%
Berit Wallenberg Foundation - cached,https://bws.wallenberg.org/anslagsguide,84%,90%,89%,80%
"Tuberous Sclerosis Alliance, USA - cached",https://www.tsalliance.org/wp-content/uploads/2019/03/TS-Alliance-Open-Science-Policy-Approved.pdf,-,82%,88%,81%
"National Health Innovation Centre, Singapore - cached",https://nhic.sg/web/images/NHIC/documents/NRFCentralGap/IE_Terms_and_Conditions_V2.0_1.pdf,50%,69%,100%,72%
"de Beaumont Foundation, USA - cached",https://debeaumont.org/wp-content/uploads/2019/05/Grant-Policies-and-Procedures-2017.pdf,82%,80%,75%,73%
International FOP Association - cached,https://www.ifopa.org/tags/research_page,78%,100%,67%,85%
"Target Ovarian Cancer, UK - cached",https://targetovariancancer.org.uk/research/our-policies,100%,100%,100%,95%
Huntington Society of Cansda - cached,https://www.huntingtonsociety.ca/wp-content/uploads/2021/04/NAVIGATOR-2021-Terms-of-Reference-Web.pdf,-,-,78%,90%
"Workforce Development Applied Research Fund, Singapore - cached",https://www.ial.edu.sg/content/dam/projects/tms/ial/Access-research/grants-and-schemes/wdarf-grant-call/2018_WDARF_AdminGuidelines_20180118_RID_Final04.pdf,-,100%,50%,67%
Siegel Rare Neuroimmune Association - cached,https://wearesrna.org/apply-to-srnas-progress-grant-for-nmosd/,-,-,50%,60%
"The Carbon Community, UK - cached",https://uploads-ssl.webflow.com/5e42f831066ef3035495488d/5e7919c81a9028a00203bac6_tcc_research_award_conditions.pdf,-,-,100%,100%
"Human Milk Foundation, UK - cached",https://humanmilkfoundation.org/research-terms-and-conditions/,-,-,100%,100%
Swedish-Norwegian Foundation for Equine Research - cached,https://hastnaringen.se/app/uploads/sites/5/2019/03/handbookshf-190328.pdf,-,100%,50%,67%
Citizen’s United for Research in Epilepsy - cached,https://www.cureepilepsy.org/wp-content/uploads/2019/09/CURE-Grant-Policy.pdf,-,-,33%,33%
,,,,,
